"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000046916.8",800.807822939795,5.14712182779731,4.01276184218394,0.00141816632162855,0.00455431655751237
"ENSMUSG00000046942.13",3813.28010292701,-17.3223592808809,3.7141602920781,4.00301705899917e-28,9.56201601604596e-27
"ENSMUSG00000046947.8",193.939765524924,1.42301529418429,0.691393147144702,0.0111547426425916,0.0279064763968641
"ENSMUSG00000046949.11",339.682235723065,1.37217088551377,0.626552891323008,0.00868926525742764,0.0224825937188214
"ENSMUSG00000046985.7",8542.38936925717,-1.78745475464228,0.22212845319674,2.10087797633271e-16,2.91921286125236e-15
"ENSMUSG00000046997.5",25.9335543936053,0.779620087246679,1.53052848906034,0.00465028598495815,0.0130344633680858
"ENSMUSG00000047037.5",1899.71279971414,-3.61306645040453,0.514453253686818,1.84187557650424e-13,2.12365403610798e-12
"ENSMUSG00000047044.7",1217.94606503339,-1.75890066010336,0.410246359595136,4.25404559703287e-06,2.19883704694999e-05
"ENSMUSG00000047045.13",1718.96281943753,1.23942285140167,0.517282468339067,0.00642554351954385,0.0173304695581422
"ENSMUSG00000047098.13",959.620217373245,-1.90666900857944,0.352749707174048,1.39117459421686e-08,1.00723358172684e-07
"ENSMUSG00000047115.11",35.4767362235479,6.69674302886713,3.69896557691968,0.000808079393900394,0.00274434777446615
"ENSMUSG00000047126.13",25636.943974059,-2.29420923498512,0.206211265109043,1.57249973754745e-29,3.98757388876295e-28
"ENSMUSG00000047139.8",142490.093345688,-4.91505892048701,0.218697757113114,5.30034484872389e-113,1.10572260670845e-110
"ENSMUSG00000047146.11",1170.32687690813,3.49788628183492,0.478449993176419,2.72252361106468e-14,3.34353252894176e-13
"ENSMUSG00000047153.3",1099.25437341404,1.5282864482722,0.365493696445404,9.05815542844206e-06,4.44693755360541e-05
"ENSMUSG00000047166.9",54.1273910430908,-0.429403879750306,1.16003349950995,0.008345942988598,0.0217236107136257
"ENSMUSG00000047180.8",860.397331727626,1.80228071332757,0.444059811376963,1.18278207276314e-05,5.7134326367558e-05
"ENSMUSG00000047181.8",4036.94087102181,-5.6063877397021,0.470454647718797,7.03363156737268e-34,2.07638112270024e-32
"ENSMUSG00000047187.9",1772.7628034731,1.25365044458492,0.257777034531266,5.27667597336493e-07,3.10138513445784e-06
"ENSMUSG00000047193.11",1191.55005359072,0.87289170094014,0.378428394510033,0.0125399865814641,0.0307572707404903
"ENSMUSG00000047205.8",22.8496181818954,0.631963957869968,1.33341535438388,0.0085288725403108,0.0221224701203088
"ENSMUSG00000047215.10",11150.651623248,1.37730981438387,0.206800717591488,7.04711574711518e-12,7.13651605044428e-11
"ENSMUSG00000047238.4",42.9566187310103,7.20870146105842,3.57831359623323,0.000403574698931299,0.00145962314828458
"ENSMUSG00000047246.6",7884.80009723192,-3.16656826539026,0.257415868537561,9.13500524071476e-36,2.88157846766579e-34
"ENSMUSG00000047248.15",3915.65949722174,-1.49335895556668,0.226274519143307,1.36688499155234e-11,1.34420380753161e-10
"ENSMUSG00000047250.9",523.070121822327,1.0954987364002,0.512787707289401,0.0148889110894563,0.0357343001849415
"ENSMUSG00000047284.10",1595.53218469661,-1.4494062958121,0.37118051967063,3.07222379748738e-05,0.000137967891892903
"ENSMUSG00000047342.12",110.989319405232,9.6465297450847,3.08454125879748,9.16889783677638e-08,5.95008608686036e-07
"ENSMUSG00000047368.3",1001.37039091174,1.64992512488208,0.414983613727604,1.93970525668074e-05,9.03770948362922e-05
"ENSMUSG00000047370.4",120.960864474476,-2.21981718863956,0.949365512504451,0.00215782332544316,0.00659400463864916
"ENSMUSG00000047388.10",559.70617492585,1.86245031728606,0.63884438564002,0.000688915446432014,0.00237613214277315
"ENSMUSG00000047394.7",24.0046425143537,0.682680951887907,1.39362573685584,0.00678213492674266,0.0181576459725899
"ENSMUSG00000047407.13",758.25455552717,3.69198783604697,0.497855009664399,9.30824057518059e-15,1.1773381733167e-13
"ENSMUSG00000047412.11",3525.70712579283,-0.683407767353336,0.304861209024967,0.0183268721570686,0.042650935857429
"ENSMUSG00000047417.13",1393.55571088525,-1.71421278445761,0.372490014005365,1.0545696102046e-06,5.94955802347862e-06
"ENSMUSG00000047419.5",40.7295253271234,7.18562094027146,3.50125457830374,0.000351754681352705,0.0012900969865083
"ENSMUSG00000047434.9",210.413342929188,2.58565299300627,0.904657512510574,0.000411533371230244,0.00148155801340736
"ENSMUSG00000047443.10",103.530641816196,-5.76399070010822,1.51929090936159,7.10016109023931e-06,3.54238266638662e-05
"ENSMUSG00000047446.14",3868.1199764125,-2.79072144604248,0.257001016756168,2.27427913522757e-28,5.4575722929096e-27
"ENSMUSG00000047454.7",392.494498198339,1.73154786769333,0.809839397498735,0.00608092573776332,0.0165091383121716
"ENSMUSG00000047459.10",954.829568018457,1.03021079270767,0.40801310517648,0.00600400019318422,0.016326159583538
"ENSMUSG00000047466.9",2456.80982347532,-2.01197994498627,0.272549042002446,3.14222565113361e-14,3.83189887276979e-13
"ENSMUSG00000047473.10",54.9757597479289,8.04202834028189,3.27294774294023,4.65002973093869e-05,0.00020142404532189
"ENSMUSG00000047497.9",27.9118388926384,0.936051249264735,1.82909639469374,0.00301308488717983,0.00886141468887513
"ENSMUSG00000047534.12",12850.1587549796,-3.55395992697663,0.207775852800079,1.31098179846573e-66,1.0005668887217e-64
"ENSMUSG00000047535.10",38.7934333827292,-0.965199576941705,1.96319006356259,0.000199508832148487,0.000770554230509807
"ENSMUSG00000047547.10",405.040290047027,1.01282614338984,0.488847098179412,0.0190529382603586,0.044013328218156
"ENSMUSG00000047554.9",1588.08921947648,-2.02373766323993,0.345652051868396,9.25572441750606e-10,7.63792532891877e-09
"ENSMUSG00000047557.2",110.415277688971,2.88502972551186,1.21960335155893,0.00120409423497356,0.00392893814398256
"ENSMUSG00000047603.8",92.6766481857029,5.32023836804958,1.23411463847066,1.23227190165608e-06,6.89068126279878e-06
"ENSMUSG00000047604.2",417.383557108289,1.86978091378164,0.510977136541473,5.40197351456363e-05,0.000231306178458847
"ENSMUSG00000047613.6",445.629502723459,-1.19837695824242,0.570183759251089,0.013198473981816,0.032135593513771
"ENSMUSG00000047648.9",5045.7370727125,-2.61029223395855,0.320570501241558,5.15990065113443e-17,7.50295590963283e-16
"ENSMUSG00000047649.8",212.480417513581,1.92482634907302,0.968814658685829,0.00656647346335029,0.0176466925124663
"ENSMUSG00000047669.7",231.129998547936,2.41184058170402,0.801383525500649,0.000318957000582248,0.00118227937244962
"ENSMUSG00000047675.11",10631.0981934211,1.14989251102703,0.226093230706643,1.8385896559083e-07,1.14882483052481e-06
