"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000003581.10",154.630653291332,-1.46441552716869,0.820355359246764,0.00811214268407768,0.0407818732536512
"ENSMUSG00000003585.9",485.271854004249,-2.07497206342602,0.568858352147544,2.33121872013264e-05,0.000255676089606935
"ENSMUSG00000003746.11",6876.72873589612,0.783463156588263,0.167179938747063,1.43387284026812e-06,1.96087995126264e-05
"ENSMUSG00000003778.10",6601.0356706428,-1.397474265852,0.191835296192814,6.59153253865605e-14,2.05317331102732e-12
"ENSMUSG00000003779.11",2673.22509922023,-1.83885585806271,0.213514208270677,9.62799449388614e-19,4.14813594549674e-17
"ENSMUSG00000003810.8",1963.25816442989,-1.8755948771886,0.24213009684019,1.20186368081253e-15,4.24024864939725e-14
"ENSMUSG00000003812.9",2430.65924033242,0.646692612345415,0.250213067281162,0.00573239520850876,0.0306214854127756
"ENSMUSG00000003813.11",6643.60954868141,0.785831276681855,0.173763457299049,2.83718743766152e-06,3.65007462910314e-05
"ENSMUSG00000003814.8",12510.759285292,0.43809753130121,0.165681163926603,0.00489238458719999,0.0268133645959415
"ENSMUSG00000003882.4",282.782905385678,-2.67807248767562,0.607784502110535,7.56184328630952e-07,1.09737977596706e-05
"ENSMUSG00000004018.5",688.131848660756,-1.25127131522844,0.38591860188692,0.000254511485123049,0.00213456266783006
"ENSMUSG00000004031.9",182.302555824861,1.5840468274132,0.729581823287158,0.00338985939327739,0.0198315378210771
"ENSMUSG00000004040.12",561.684084421662,1.4031138974243,0.430059147582596,0.000196769743991584,0.00169976612080176
"ENSMUSG00000004056.11",1170.39202576821,0.928331875051126,0.283911738187596,0.000407348405670219,0.0032210568613031
"ENSMUSG00000004085.10",2084.7810643243,-0.600112627770256,0.250272512904214,0.0101759637394082,0.0489848863613003
"ENSMUSG00000004099.11",9169.5114923421,-1.21467339468745,0.173952062924462,7.54614927606285e-13,2.21108568830401e-11
"ENSMUSG00000004221.12",1052.68027389434,0.713749013776816,0.296882405881587,0.0083731726722453,0.0418558621848375
"ENSMUSG00000004319.11",60800.1884271275,1.69259720637516,0.140498730378356,5.53126509908499e-34,5.62480855296658e-32
"ENSMUSG00000004356.7",298.232707503017,1.788909056396,0.596001701269594,0.000291411583661163,0.00240764896690883
"ENSMUSG00000004460.12",1958.89465736172,-1.07005447528735,0.247513358533832,4.69878742266326e-06,5.89693557671805e-05
"ENSMUSG00000004462.6",1095.46691463262,-1.52335487202481,0.296948441150445,4.99007215432531e-08,8.58366889232823e-07
"ENSMUSG00000004473.9",13.5895248234068,0.238396200199816,0.776431294463436,0.00962477037668763,0.0469499458395713
"ENSMUSG00000004535.8",14875.5077073556,1.72652525158486,0.154971856599028,1.27502019349112e-29,1.06869874399892e-27
"ENSMUSG00000004562.12",188.531842529664,-1.91561635456393,0.809122439079993,0.00139519089969081,0.00944468435767199
"ENSMUSG00000004565.10",1384.30859757202,-0.851233717896622,0.265203910000882,0.000560899861528471,0.00428104033385141
"ENSMUSG00000004567.11",644.295194503596,-1.23791354761453,0.416988651789507,0.000645624279438558,0.00482647772142447
"ENSMUSG00000004591.12",13954.965382534,1.13146994627069,0.15739155063452,1.99535766400334e-13,6.02528307711052e-12
"ENSMUSG00000004626.10",710.233773904905,0.983446829608229,0.346955927143671,0.00152630427914535,0.0102271260564827
"ENSMUSG00000004642.9",6136.49523531997,-1.07652648015204,0.187952102566455,3.17637409130397e-09,6.27560766896199e-08
"ENSMUSG00000004655.5",25546.907643428,-0.940390500006809,0.155600560570788,7.66471896724369e-10,1.60854420814841e-08
"ENSMUSG00000004665.6",1000.47121184693,1.10065868329472,0.404039484706215,0.00173572603149771,0.0114092637906907
"ENSMUSG00000004668.10",1620.64582465879,1.41132134316498,0.266252085298817,2.28443188601998e-08,4.0713521886155e-07
"ENSMUSG00000004677.11",1660.4970529927,-0.71075291383363,0.261873072756504,0.00346176325213299,0.0201798707949697
"ENSMUSG00000004789.9",2956.73796966179,-0.55779689364947,0.221331598787451,0.00776606567121643,0.0393423766420964
"ENSMUSG00000004846.6",304.789396805873,1.41508777745365,0.591842165082206,0.00254264798631858,0.0157619101975733
"ENSMUSG00000004880.7",25639.6548923586,-2.15082504011811,0.157643970922543,3.47294542635991e-43,6.07985256285538e-41
"ENSMUSG00000004897.12",5880.30340047652,-1.12203955431595,0.245323745668052,1.36281101726934e-06,1.87539068346617e-05
"ENSMUSG00000004980.12",14542.523514991,-1.00318951855171,0.265031222045056,5.13353673066686e-05,0.000517846921846263
"ENSMUSG00000005087.13",1636.74032762879,0.689414660644965,0.288895715963198,0.00919285583021008,0.0451802402742734
"ENSMUSG00000005103.9",2063.70958369358,0.798112259914752,0.261024384725265,0.00104827881882553,0.00735550282311371
"ENSMUSG00000005131.3",78.4952484355675,10.3322267063373,3.11844401879226,1.17957319762418e-08,2.19267437139011e-07
"ENSMUSG00000005142.9",637.244873359768,0.941094290748852,0.373482159230987,0.00405591406803105,0.022960823397818
"ENSMUSG00000005198.11",4140.84455262276,-1.07633994295062,0.219898683648632,3.0460273904667e-07,4.72800884513519e-06
"ENSMUSG00000005233.12",2971.41390542821,-2.65949337340949,0.275361431847993,3.53831330582272e-23,1.98116894815904e-21
"ENSMUSG00000005374.9",471.068350646163,-1.04942216138254,0.414664394216581,0.00315757085843481,0.0187824537514638
"ENSMUSG00000005410.5",2950.13004093845,-0.679187350519001,0.218299642709632,0.00102362687513283,0.0072329286860575
"ENSMUSG00000005442.9",1633.6955983935,-1.14865457973762,0.293648286114911,2.43852919606323e-05,0.000265759328459846
"ENSMUSG00000005447.8",48.8282137076544,-3.54379077249139,1.77335199664948,0.00114854000897817,0.00797004933475572
"ENSMUSG00000005470.8",1350.42481201399,-1.54863773095744,0.293203390419718,2.16968401512692e-08,3.8768384921454e-07
"ENSMUSG00000005483.9",1369.18345762599,-1.43980020008912,0.277175800676471,3.82552495616437e-08,6.64660931454187e-07
"ENSMUSG00000005506.12",5122.34695660908,-1.46662686548827,0.216370876749382,2.29815975111803e-12,6.36944876913073e-11
"ENSMUSG00000005534.9",901.08682879424,0.824181150458485,0.330063897598948,0.00538466586901159,0.0290217961685231
"ENSMUSG00000005566.9",2346.26333901184,0.831632799639592,0.221485948934494,7.94984754635311e-05,0.000761929255482075
"ENSMUSG00000005615.10",6065.64025980684,-0.614271898339434,0.175562676823417,0.000293789314339175,0.00242284210930876
"ENSMUSG00000005621.11",1104.63572584463,-0.867124975399341,0.286385568611189,0.00100054068044317,0.00710707632795533
"ENSMUSG00000005656.8",333.59094319935,1.65684414165499,0.515786968291884,0.000172938051005884,0.00151375521861479
"ENSMUSG00000005672.8",482.266289241622,1.27452381194508,0.442048730156605,0.000808657733168231,0.00588927669811302
"ENSMUSG00000005682.8",638.902265152933,-1.17625110516912,0.410651972845562,0.00096837740172139,0.00691055699990032
"ENSMUSG00000005687.10",1436.78237936932,-0.921122147205809,0.261064554788672,0.000158667148714971,0.00140304774087471
